Empresas do ramo alimentício de São José do Rio Preto;;;;;;;;;;;;;;;;;;;;;
Nome ;Franquias;Segmento ;Contato;Instagram/Facebook;Número de Seguidores;Ifood;Link Ifood;Outra Plataforma de Delivery;Link da Plataforma ;Avaliação Google;Avaliação Ifood;Quantidade de Avaliações (Google);Quantidade de Avaliações (Ifood);CNPJ;Endereço;Bairro;Região Adm;CEP;Porte;CNAE;
ROMA SALGADOS;;Lanchonetes/Hamburguerias;(17) 9524-3522;*;;*;*;*;*;4,3;;13;0;24.403.559/0001-20;R SANTA PAULA, 2195 ;ELDORADO;Cidade da Criança;15043-320;MICRO EMPRESA;5612-1/00;
BAR SKINÃO;;Comida Brasileira; ;*;;*;*;*;*;;;0;0;05.466.098/0001-90;AVENIDA PARANA, 165 ;ELDORADO;Cidade da Criança;15043-400;MICRO EMPRESA;03/02/5611;
EMPORIO DO SALGADO;;Lanchonetes/Hamburguerias;(17) 9149-1921;*;;*;*;*;*;;;0;0;29.747.047/0001-03;RUA PEREIRA BARRETO, 3491;ELDORADO;Cidade da Criança;15043-150;MICRO EMPRESA;03/02/5611;
CHALE DO PASTEL;;Lanchonetes/Hamburguerias;(17) 3011-5433;Chale do Pastel;167;*;*;*;*;4,4;;28;0;32.114.198/0001-20;RUA SAO SALVADOR DA BAHIA, 97 CASA 5;JARDIM ITAPEMA;Pinheirinho;15045-335;MICRO EMPRESA;03/02/5611;
LUIZ LANCHES;;Lanchonetes/Hamburguerias;(17) 9236-0359;Lanche do Luiz;966;*;*;*;*;;;0;0;49.270.298/0001-49;AV MENEZES, 3405;ELDORADO;Cidade da Criança;15043-080;MICRO EMPRESA;03/02/5611;
HOT DOG BOM SABOR;;Lanchonetes/Hamburguerias;(17) 9611-7271;Hot dog bom sabor;129;*;*;*;*;4,9;;16;0;30.764.615/0001-55;RUA ESTRELA D'OESTE, 2894;ELDORADO;Cidade da Criança;15043-480;MICRO EMPRESA;03/02/5611;
POPPYS SMASH BURGUERS;;Lanchonetes/Hamburguerias;(17) 3305-6282;*;;*;*;*;*;5;;3;3;37.367.553/0001-97;R. Aparecida do Taboado, 2360;ELDORADO;Cidade da Criança;15043-180;MICRO EMPRESA;03/02/5611;
BIANCOS PIZZARIA E LANCHONETE;;Pizzarias/Massas;(17) 3223-0361;biancospizzariaelanchonete;315;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/biancos-pizzaria-e-lanchonete-vila-elmaz;*;*;4,9;4;25;7;33.354.516/0001-93;RUA HORMINIO DE OLIVEIRA LEITE, 115;VILA ELMAZ;Bosque;15051-500;MICRO EMPRESA;03/02/5611;
VARANDAS LANCHES;;Lanchonetes/Hamburguerias; ;*;;*;*;*;*;;;0;0;05.558.445/0001-05;RUA SILVIO NICOLETTI, 368;VILA ELMAZ;Bosque;15051-490;MICRO EMPRESA;03/02/5611;
RESTAURANTE TERRA DE GOIAS;;Comida Brasileira;(17) 3266-1336;terradegoias;7672;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/terra-de-goias-vila-aurora;*;*;4,7;4,8;1514;293;23.008.392/0001-30;AVENIDA GOVERNADOR ADHEMAR PEREIRA DE BARROS, 2850;JARDIM EUROPA;Central;15014-070;MICRO EMPRESA;03/02/5611;
IAIA BISTRO E CREPE;;Comida Brasileira;(17) 3011-0602/ (17) 9728-2316;iaiabistrooficial;10657;*;*;*;*;4,8;;213;0;06.262.880/0001-50;R SANTO ANDRE, 114;JARDIM EUROPA;Central;15014-490;EMPRESA DE PEQUENO PORTE;03/02/5611;
GAMBÓFA ESPETARIA;;Comida Brasileira;(17) 3266-1336;gambofa_;4227;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/gambofa---bar--petiscaria-vila-aurora;*;*;4,5;4,5;166;1;48.728.889/0001-54;AV GOVERNADOR ADHEMAR PEREIRA DE BARROS, 2850 SALA 1;CENTRO;Central;15014-070;EMPRESA DE PEQUENO PORTE;01/02/5611;
PIZZAIOLO;;Pizzarias/Massas;(17) 9715-2606;pizzaiolorp;9681;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/pizzaiolo-rio-preto-centro;Anota ai;https://pedido.anota.ai/loja/pizzaioloriopreto1?from=site&utm_source=portal-share-btn&referer=https%3A%2F%2Fwww.google.com%2F;4,7;4,9;137;26;43.083.887/0001-31;AV DOUTOR ALBERTO ANDALO, 4065;CENTRO;Central;15015-000;MICRO EMPRESA;01/02/5611;
BELLA NONNA;;Pizzarias/Massas;(17) 3221-5550;*;;*;*;*;*;;;0;0;41.932.424/0001-71;AV DANILO GALEAZZI, 1300 LOJA 09;JARDIM NAZARETH;Central;15052-276;MICRO EMPRESA;01/02/5611;
MISTURA FINA BAR E RESTAURANTE;;Comida Brasileira;(17) 3016-9015;*;;*;*;*;*;;;0;0;30.321.603/0001-56;RUA SANTO ANDRE, 173;JARDIM EUROPA;Central;15014-490;MICRO EMPRESA;03/02/5611;
RESTAURANTE ORIENTAL BRASIL;;Comida Étnica (China);(17) 3235-2349;Restaurante Oriental Brasil Cozinha Chinesa;1400;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/oriental-brasil-vila-santa-cruz;*;*;4,7;4,7;603;54;00.744.065/0001-41;RUA INDEPENDENCIA, 3542;VILA FIORESI;Central;15014-400;DEMAIS;01/02/5611;
GIL GRILLS;;Comida Brasileira;(17) 9216-7183;gilgrills_;6136;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/gil-grills-conjunto-habitacional-sao-deocleciano;Plataforma Própria;https://cardapio.gilgrills.com.br/gilgrills;4,7;4,9;13;18;26.768.787/0001-20;"RUA BENEDITO SUFREDINI, 985 QUADRA 10;LOTE 22";CONJUNTO HABITACIONAL SÃO DEOCLECIANO;Represa;15057-000;MICRO EMPRESA;01/02/5611;
VR CHICKEN FOOD LTDA;;Comida Brasileira;(17) 3234-5373;*;;*;*;*;*;;;0;0;40.173.284/0001-32;R BENEDITO SUFREDINI, 861 SALA 02;RESIDENCIAL VILA FLORA;Represa;15057-445;EMPRESA DE PEQUENO PORTE;01/02/5611;
BORELLI;;Sorveteria/ Açaí/ Doceria;(17) 3353-6599;gelatoborellioficial;80155;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/gelato-borelli-centro;*;*;4,1;5;685;52;30.051.960/0001-41;AV ANISIO HADDAD, 6363 LOJA SUC 96;JARDIM FRANCISCO FERNANDES;HB;15090-305;MICRO EMPRESA;01/02/5611;
SPAGUETTO PASTA & GRILL;;Pizzarias/Massas;(17) 3353-6599;Spaguetto - pasta e grill;1300;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/spaguetto-pasta-e-grill-jd-morumbi;*;*;3,8;4,6;41;18;00.990.817/0001-54;AVENIDA ANISIO HADDAD, 6363 LOJA SUC. 97;JARDIM FRANCISCO FERNANDES;HB;15090-305;MICRO EMPRESA;01/02/5611;
DOC BIER;;Outros;(17) 3305-9030;docbierchoperia;4257;*;*;*;*;4,3;;153;0;08.957.308/0001-31;AVENIDA JOSE MUNIA, 6200;JARDIM FRANCISCO FERNANDES;HB;15090-275;DEMAIS;01/02/5611;
BAR 3 REIS;;Comida Brasileira;(17) 3231-1525;*;;*;*;*;*;4,6;;48;0;65.465.767/0001-31;R SAO BENTINHO, 206;GONZAGA DE CAMPOS;Cidade da Criança;15035-320;MICRO EMPRESA;01/02/5611;
EXTREMA ALIMENTOS;;Comida Brasileira;(17) 3122-5000;EXTREMA ALIMENTOS;1100;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/extrema-alimentos---restaurante-jardim-novo-aeroporto;*;*;4,6;4,6;457;687;27.023.256/0001-70;AV FELICIANO SALLES CUNHA, 2860;JARDIM NOVO AEROPORTO;Central;15035-000;MICRO EMPRESA;01/02/5611;
CATARINA MUSIC SKATE E BAR;;Comida Brasileira;(17) 9606-0634;catarinaskatebar;13984;*;*;*;*;3,5;;6;0;43.885.330/0001-14;AV LINO JOSE DE SEIXAS, 1255;JARDIM DOS SEIXAS;Central;15061-060;MICRO EMPRESA;01/02/5611;
CANTINA TIA LUCIA;;Comida Brasileira;(17) 3217-9555;*;;*;*;*;*;;;0;0;56.860.117/0001-08;"AV PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA, 1000 : CANTINA;";JARDIM PANORAMA;Central;15091-235;MICRO EMPRESA;01/02/5611;
RANCHO DO CUPIM;;Comida Brasileira;(17) 3233-7682;rancho.sjrp;21214;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/rancho-do-cupim-vila-sao-joao;*;*;4,6;4,5;8682;120;08.347.174/0001-37;AV PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA, 1185;JARDIM PANORAMA;Central;15091-450;DEMAIS;01/02/5611;
(CANTINA DO HOSTPITAL);;Comida Brasileira;(17) 9143-1999;*;;*;*;*;*;;;0;0;14.171.415/0001-32;ALAMEDA DOUTOR OSCAR DE BARROS SERRA DORIA, 5661;VILA SÃO MANOEL;HB;15091-180;MICRO EMPRESA;01/02/5611;
JK HOT DOG;;Lanchonetes/Hamburguerias;(17) 9622-6332;jk_hotdog;14455;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/jk-hot-dog-prensado-premium-jardim-tarraf-ii;Delivery Direto;https://deliverydireto.com.br/jkhotdog/prensado?utm_source=google-place-action-link&dd=menu;4,7;4,8;402;51;30.409.587/0001-58;AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA, 1901;JARDIM TARRAF;HB;15091-365;MICRO EMPRESA;01/02/5611;
AM/PM;;Comida Brasileira;(17) 3233-7682;*;;*;*;*;*;;;0;0;43.314.170/0001-53;R SERAFIM CORREA ANDRADE, 40;PINHEIROS;HB;15091-360;EMPRESA DE PEQUENO PORTE;01/02/5611;
TANTO TEMAKERIA;;Comida Étnica (Japão);(17) 9158-5652;tantotemakeria;22740;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/tanto-temakeria-redentora;*;*;4,6;4,6;548;84;29.678.640/0001-37;AVENIDA FRANCISCO DAS CHAGAS OLIVEIRA, 121;PINHEIROS;HB;15091-330;MICRO EMPRESA;01/02/5611;
CHURRASCARIA XAVIER;;Comida Brasileira;(17) 3234-3311;*;;*;*;*;*;;;0;0;47.157.584/0001-77;AV ALFREDO ANTONIO DE OLIVEIRA, 2725;JARDIM PLANALTO;Central;15046-619;MICRO EMPRESA;01/02/5611;
SUBWAY;;Lanchonetes/Hamburguerias;(17) 4009-1700;subwaybrasil;837361;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/subway-cidade-norte-jardim-planalto;*;*;3,8;4,9;30;115;28.727.318/0001-98;AVENIDA ALFREDO ANTONIO DE OLIVEIRA, 2077 LOJA EUC F-03;JARDIM PLANALTO;Central;15046-619;EMPRESA DE PEQUENO PORTE;01/02/5611;
SUGOI SUSHI BOX;;Comida Étnica (Japão);(17) 8132-6101;sugoisushibox;2885;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/sugoi-sushi-box-jardim-planalto;Goomer;https://sugoi.goomer.app/;3,9;4,7;31;7;20.680.863/0001-64;"AVENIDA ALFREDO ANTONIO DE OLIVEIRA, 2077 : EUC F-08;";JARDIM PLANALTO;Represa;15046-355;MICRO EMPRESA;01/02/5611;
BRAZILIAN GOURMET;;Comida Brasileira;(17) 3202-7373;brazillianpostoschiesa;11207;*;*;*;*;4,6;;715;0;13.914.904/0001-74;AV FRANCISCO PRESTES MAIA, 1564;JARDIM PRIMAVERA;Central;15061-360;EMPRESA DE PEQUENO PORTE;01/02/5611;
PARIZOTTO;;Comida Brasileira;(17) 3211-8600;*;;*;*;*;*;;;0;0;08.820.760/0001-57;AV FRANCISCO PRESTES MAIA, 1564;JARDIM NAZARETH;Central;15054-105;MICRO EMPRESA;01/02/5611;
NADO MARTINS RESTAURANTE II;;Comida Brasileira;(17) 8821-2912;Restaurante Nado Martins;3400;*;*;*;*;4,3;;549;0;26.309.578/0001-18;AVENIDA DOUTOR FERNANDO COSTA, 1774;JARDIM PRIMAVERA;Central;15061-375;MICRO EMPRESA;01/02/5611;
HAYSAN;;Comida Étnica (Japão);(17) 3302-6161;haysansushi;6929;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/haysan-parque-quinta-das-paineiras;*;*;4,7;4,6;412;17;37.685.189/0001-03;AV POTIRENDABA, 2525;PARQUE QUINTA DAS PAINEIRAS;HB;15080-480;MICRO EMPRESA;01/02/5611;
RESTAUANTE TODO DIA;;Comida Brasileira;(17) 3216-3618;Restauante Todo Dia;115;*;*;*;*;4,6;;282;0;14.213.049/0001-37;AV MURCHID HOMSI, 2910;JARDIM SANTA MARIA;HB;15080-210;MICRO EMPRESA;01/02/5611;
CHEF BUENO SERVICOS GASTRONOMICOS PERSONALIZADOS;;Comida Brasileira;(17) 3234-9301;*;;*;*;*;*;;;0;0;29.746.455/0001-32;RUA CHICO MENDES, 500;RESIDENCIAL QUINTA DO GOLFE;HB;15093-322;MICRO EMPRESA;01/02/5611;
AMMICI GASTRONOMIA;;Comida Brasileira;(17) 3305-9030;terraco_ammici;13572;*;*;*;*;4,5;;66;0;31.998.988/0001-53;AV WALDEMAR HADDAD, 1701 SALA 1;RESIDENCIAL QUINTA DO GOLFE;HB;15093-300;MICRO EMPRESA;01/02/5611;
NOUSH COZINHA LIBANESA;;Comida Étnica (Líbano);(17) 3364-9710;noush.rp;2157;*;*;*;*;;;0;0;48.241.971/0001-50;AV JOSE MUNIA, 4775 LOJA F2109;JARDIM REDENTOR;HB;15085-350;MICRO EMPRESA;01/02/5611;
PORCO NO PRATO;;Comida Brasileira;(11) 6831-9000;porconopratoplaza;6804;*;*;*;*;4,6;;161;0;35.819.032/0001-06;AV JOSE MUNIA, 4775 LOJA LUC F2111;JARDIM REDENTOR;HB;15085-350;MICRO EMPRESA;01/02/5611;
CHURRASCARIA VENTOS DO SUL;;Comida Brasileira;(17) 3232-2922 / (17) 3229-3578 / (17) 3232-2922;churrascariaventosdosul;13121;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/churrascaria-ventos-do-sul-jardim-redentor;*;*;4;4,6;4101;49;07.832.759/0001-80;AVENIDA JOSE MUNIA, 5083;JARDIM REDENTOR;HB;15085-350;EMPRESA DE PEQUENO PORTE;01/02/5611;
DIVINO FOGAO;;Comida Brasileira;(17) 3212-4411;divino_fogao_riopretoshop;841;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/divino-fogao---plaza-shopping-jardim-redentor;*;*;4;4,6;337;52;22.063.057/0001-72;AVENIDA JOSE MUNIA, 4775 ANEXO LUC F 2054;JARDIM REDENTOR;HB;15085-350;MICRO EMPRESA;01/02/5611;
NEWFRAM;;Comida Brasileira;(17) 3225-6455;*;;*;*;*;*;;;0;0;08.786.153/0001-18;AVENIDA JOSE MUNIA, 4775 LOJA F 279;JARDIM REDENTOR;HB;15085-350;MICRO EMPRESA;01/02/5611;
SANTO GARFO;;Comida Brasileira;(17) 9734-1006;santo_garfo;6050;*;*;*;*;4;;15;0;26.862.116/0001-23;AVENIDA JOSE MUNIA, 4775 BOX LUC F2109;JARDIM REDENTOR;HB;15085-350;MICRO EMPRESA;01/02/5611;
STEAK E BURGUER;;Lanchonetes/Hamburguerias;(16) 3307-1614;*;;*;*;*;*;;;0;0;46.493.288/0001-84;AV JOSE MUNIA, 4775 LETRA FUC N F2047 LOJA 04 NIVEL 2;JARDIM REDENTOR;HB;15085-350;MICRO EMPRESA;01/02/5611;
BUSHIDO;;Comida Étnica (Japão);(17) 3216-3770/ (17) 3216-1683;Bushido plaza avenida shopping;585;*;*;*;*;3,5;;39;0;13.881.645/0001-22;"AV JOSE MUNIA, 4775 LOJA: L228;";JARDIM REDENTOR;HB;15085-350;EMPRESA DE PEQUENO PORTE;01/02/5611;
SOS MARMITARIA;;Comida Brasileira;(17) 9643-4702;*;;*;*;*;*;;;0;0;45.909.766/0001-21;RUA DORINDO MASSON, 1021 ;PARQUE RESIDENCIAL DA FRATERNIDADE II;Engenheiro Schmit;15082-490;MICRO EMPRESA;01/02/5611;
PIZZ UP;;Pizzarias/Massas;(17) 9655-9315;pizzupriopreto;1175;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/pizzup-pizzaria-vila-maria/c3cd0611-4090-4994-912c-e5be7e69a1e8?utm_medium=ReserveGoogle;Menu Dino;https://pizzup.menudino.com/?rwg_token=ADQ7psRUTy7ROOka4f4mjY2B2yVjZYjq3Pt0WbU4y5cnHGLyEZSjdr_td-741Wx27B1xIzPRlBLFC6kIDcivwCzmXEQByBWQLGWRxNH09p5eILOYChRBRfQ%3D;4,8;5;265;1;24.391.535/0001-07;RUA JOSE SILVA DO AMARAL SALES, 2403 ;JARDIM ROSEANA;Central;15025-450;MICRO EMPRESA;8211-3/00;
ESPETO DO RAFA;;Comida Brasileira;(17) 3266-1336;espetodorafa;10129;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/espeto-do-rafa-jardim-analice;*;*;4,3;5;28;25;31.620.292/0001-99;RUA JOSE BONIFACIO, 975 ;JARDIM ANALICE;Central;15070-400;MICRO EMPRESA;01/02/5611;
BAR DO GILBERTO;;Comida Brasileira;(17) 9219-8487;*;;*;*;*;*;4,2;;26;0;40.892.444/0001-01;RUA JOSE BONIFACIO, 1115 ;JARDIM ANALICE;Central;15070-400;MICRO EMPRESA;01/02/5611;
AG SERVICOS DE ALIMENTACAO E EVENTOS;;Comida Brasileira;(11) 9734-7059;*;;*;*;*;*;;;0;0;35.982.948/0001-74;RUA SILVA JARDIM, 3533 ;VILA SANTA CRUZ;Central;15014-050;MICRO EMPRESA;01/02/5611;
LANCHONETEESTRELA ORIGINAIS COM BR;;Comida Brasileira;(17) 9744-6595;*;;*;*;*;*;;;0;0;20.936.250/0001-45;RUA SIQUEIRA CAMPOS, 4051 ;VILA SANTA CRUZ;Central;15014-030;MICRO EMPRESA;01/02/5611;
ESKINA BAR & ESPETOS;;Comida Brasileira;(17) 9651-8009;eskinabarrp;2376;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/eskina-bar-e-espetos-marmitas-vila-santa-cruz;*;*;;;0;0;45.295.447/0001-73;RUA JOSE PEDRO LEME, S/N ANEXO R. PROF WOLFRANG 395;VILA DINIZ;Central;15014-075;MICRO EMPRESA;01/02/5611;
FAROFA BAR E ESPETO;;Comida Brasileira;(17) 9880-0035;farofabutiquim;5657;*;*;*;*;4,6;;490;0;28.524.860/0001-43;RUA PAULO SETUBAL, 393 ;VILA SANTA CRUZ;Central;15014-160;MICRO EMPRESA;01/02/5611;
RESTAURANTE SABOR DA CASA;;Comida Brasileira;(17) 3235-6511/ (17) 3235-2168;Restaurante Sabor da Casa;1100;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/sabor-da-casa-restaurante-vila-santa-cruz;Goomer;https://sabor-da-casa-restaurante.goomer.app/menu;3,7;4,8;27;16;19.328.299/0001-36;R SILVA JARDIM, 4064 ;VILA SANTA CRUZ;Central;15014-050;MICRO EMPRESA;01/02/5611;
GRAMADO RESTAURANTE E CHOPERIA;;Comida Brasileira;(17) 3231-6279/ (17) 3235-7584;*;;*;*;*;*;;;0;0;21.601.797/0001-52;AV DA SAUDADE, 3781 ;VILA SANTA CRUZ;Central;15014-020;MICRO EMPRESA;01/02/5611;
Restaurante Cuié di Pau - Unidade 2;;Comida Brasileira;(17) 3233-8787/ (17) 3231-5266;cuiedipauoficial;1833;*;*;*;*;5;;25;0;48.149.779/0001-38;AV SAUDADE - DA, 3781 ;VILA SANTA CRUZ;Central;15014-020;MICRO EMPRESA;01/02/5611;
CONSULADO DA PIZZA;;Pizzarias/Massas;(17) 3012-2006 / (17) 3235-4755 / (17) 3235-4755;consuladodapizza;1688;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/consulado-da-pizza-vila-santa-cruz;*;*;4,4;4,8;1062;60;11.066.118/0001-39;RUA SILVA JARDIM, 3563 A;VILA SANTA CRUZ;Central;15014-050;MICRO EMPRESA;01/02/5611;
BUTECO DO LIMA;;Comida Brasileira;(17) 3233-2110;*;;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/boteco-do-lima-lanches-vila-santa-cruz;*;*;4,4;;74;0;40.755.740/0001-52;RUA SILVA JARDIM, 3829 ;VILA SANTA CRUZ;Central;15014-050;MICRO EMPRESA;01/02/5611;
BIFE & CIA PARMEGIANAS ESPECIAIS;;Comida Brasileira;(17) 9618-8885;bifeeciarp;6343;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/bife--cia---parmegianas-especiais-vila-diniz;*;*;4,8;4,9;6;35;49.818.773/0001-79;R JOSE PEDRO LEME, 15 CASA AO LADO DA PRACA;VILA DINIZ;Central;15014-075;MICRO EMPRESA;01/02/5611;
REAL GRILL;;Comida Brasileira;(17) 3211-9900;*;;*;*;*;*;4;;130;0;71.710.164/0001-50;AV FORTUNATO ERNESTO VETORASSO, 500 ;JARDIM SANTA LUCIA;Cidade da Criança;15040-170;MICRO EMPRESA;04/02/5611;
GOSTO MINEIRO;;Comida Brasileira;(17) 9133-9330;GOSTO MINEIRO;193;*;*;*;*;;;0;0;44.577.803/0001-89;R SANTA PAULA, 4210 SALA 1;JARDIM SANTA LUCIA;Cidade da Criança;15040-190;MICRO EMPRESA;01/02/5611;
RESTAURANTE MORIA;;Comida Brasileira;(17) 3234-5999 / (17) 3234-5999;*;;*;*;*;*;;;0;0;16.896.837/0001-09;RUA SANTA PAULA, 4.200 SALA 01;JARDIM SANTA LUCIA;Cidade da Criança;15040-190;MICRO EMPRESA;01/02/5611;
NOSSO BAR;;Outros;(17) 3222-4660 / (17) 3021-6266;*;;*;*;*;*;;;0;0;09.448.214/0001-08;RUA ABNER GOMYDE, 1790 ;CIDADE JARDIM;HB;15081-100;MICRO EMPRESA;01/02/5611;
ZÉ DO ESPETO;;Comida Brasileira;(17) 3012-7203;*;;*;*;*;*;4,9;;16;0;16.874.061/0001-18;R ABNER GOMYDE, 2041 CASA 01;CIDADE JARDIM;HB;15081-100;MICRO EMPRESA;01/02/5611;
BROTO ACAI E PASTEL;;Lanchonete/Diversos;(17) 3223-3247;brotoacaiepastel;5024;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/broto-acai-e-pastel-residencial-cidade-jardim;Yooga;https://delivery.yooga.app/broto-acai-e-pastel/tabs/home;5;5;45;21;29.874.261/0001-12;R LAFAYETTE JOSE SPINOLA, 2140 ;CIDADE JARDIM;HB;15081-130;MICRO EMPRESA;03/02/5611;
GELATERIA FAVO DE MEL;;Sorveteria/ Açaí/ Doceria;(17) 3011-1145;Gelateria Favo de Mel;633;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/gelateria-favo-de-mel-cidade-nova;*;*;4,8;4,7;615;32;06.114.026/0001-47;RUA OTAVIO PINTO CESAR, 875 ;CIDADE NOVA;HB;15085-360;MICRO EMPRESA;03/02/5611;
SOB NOVA DIRECAO SNOOKER BAR;;Comida Brasileira;(17) 3222-1913;barsobnovadirecao;1996;*;*;*;*;4,5;;973;0;10.319.394/0001-07;R OTAVIO PINTO CESAR, 1325 ;CIDADE NOVA;HB;15085-360;MICRO EMPRESA;03/02/5611;
COLA AKI BAR;;Outros;(17) 99172-6550;*;;*;*;*;*;4,5;;163;0;42.733.321/0001-45;R WALDEMAR SANCHES, 567 ;CIDADE NOVA;HB;15085-300;MICRO EMPRESA;03/02/5611;
MATHEUS LANCHES;;Lanchonetes/Hamburguerias;(17) 3122-7000;*;;*;*;*;*;4,7;;170;0;00.229.471/0001-76;AVENIDA MURCHID HOMSI, 1445 ;PARQUE RESIDENCIAL COMENDADOR MANÇOR DAUD;*;15070-650;MICRO EMPRESA;03/02/5611;
POTENCIA LANCHES;;Lanchonetes/Hamburguerias;(17) 3353-6599;*;;*;*;*;*;;;0;0;25.264.595/0001-13;R MIGUEL BUCHIDID, 141 ;PARQUE RESIDENCIAL COMENDADOR MANÇOR DAUD;*;15070-520;MICRO EMPRESA;03/02/5611;
SACOLAO REAL;;Outros;(17) 3202-1930;*;;*;*;*;*;;;0;0;06.008.651/0001-04;AVENIDA MURCHID HOMSI, 537 BOX LANCHONETE;PARQUE RESIDENCIAL COMENDADOR MANÇOR DAUD;*;15070-650;MICRO EMPRESA;03/02/5611;
MR. CHENEY;;Sorveteria/ Açaí/ Doceria;(17) 3211-8989;mrcheneyoficial;66206;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/mr-cheney-cookies---iguatemi-iguatemi;*;*;4,6;;50;0;25.197.846/0001-94;AV PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA, 5000 LOJA Q209 1 PISO;IGUATEMI;HB;15093-340;MICRO EMPRESA;03/02/5611;
GRÃO ESPRESSO;;Outros;(17) 3201-8870;graoespresso_iguatemiriopreto;1762;*;*;*;*;4,3;;223;0;22.719.997/0001-77;"AV PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA, 5000 ANEXO: SUC L 1072;";RESIDENCIAL ECO VILLAGE I;HB;15093-340;MICRO EMPRESA;03/02/5611;
IAIA CHURRERIA E CREPRERIA IGUATEMI;;Sorveteria/ Açaí/ Doceria;(17) 8828-5434/ (17) 8830-4004;iaiachurreria;2135;*;*;*;*;4,5;;3;0;24.126.264/0001-54;AV PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA, 5000 LOJA 1079 - PISO TERREO;IGUATEMI;HB;15093-340;MICRO EMPRESA;03/02/5611;
SUBWAY IGUATEMI;;Lanchonetes/Hamburguerias;(17) 3225-5046;subwaybrasil;837361;*;*;*;*;3,2;;24;0;19.593.503/0001-46;AV PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA, 5000 LOJA 3016;Res. Eco Village I;HB;15093-270;MICRO EMPRESA;03/02/5611;
STARBUCKS;;Outros;(17) 3234-9639;starbucksbrasil;999811;*;*;*;*;4,6;;849;0;07.984.267/0001-00;AV PAULISTA, 900 ANDAR 10 PARTE;JARDIM BELA VISTA;Central;01310-940;DEMAIS;03/02/5611;
KEKALA CUSTOM PICOLÉ;;Sorveteria/ Açaí/ Doceria;(17) 9782-4175;kekalaoficial;248596;*;*;*;*;5;;2;0;43.662.719/0001-09;AV PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA, 5000 QUIOSQSJP120QM1P;IGUATEMI;HB;15093-340;MICRO EMPRESA;03/02/5611;
LE GELATO - IGUATEMI;;Sorveteria/ Açaí/ Doceria;(17) 3215-8181;legelatoartesanal;1437;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/le-gelato---iguatemi-iguatemi;*;*;;;0;0;31.031.102/0001-06;AV PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA, 5000 LOJA 1027 PISO TERREO;IGUATEMI;HB;15093-340;MICRO EMPRESA;03/02/5611;
SUCO BAGAÇO;;Saudáveis/Veganas/Veget;(17) 3301-1767;sucobagacooficial;12036;*;*;*;*;3;;2;0;28.206.714/0001-70;AV PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA, 5000 LOJA 3003;IGUATEMI;HB;15093-340;MICRO EMPRESA;03/02/5611;
